,Cities,Lat,Temperature,Humidity,Cloudiness,Wind Speed
0,barrow,80.49845484795944,44.5,71,68,13.56
1,geraldton,-31.77205494169337,73.4,69,90,14.99
2,tsienyane,-22.026831739980707,,,,
3,albany,-62.097507056403316,76.55,44,75,6.93
4,belaya gora,67.15793387251696,34.42,95,0,4.38
5,qaanaaq,74.2481050504557,41.26,89,8,4.94
6,rikitea,-36.14044157377128,70.51,100,8,3.94
7,busselton,-78.57325710107173,58.72,100,0,14.9
8,coquimbo,-30.379617828330275,59,62,0,13.87
9,east london,-87.71016544704439,57.2,82,20,4.7
10,palmer,60.510508005494074,46.4,65,20,6.93
11,cherkasy,49.517693270475434,68.44,70,32,3.27
12,barranca de upia,4.54630075796922,78.25,61,0,2.37
13,ilulissat,70.03626841881973,48.2,45,20,5.82
14,taolanaro,-82.74332326220177,,,,
15,ostersund,64.21491142259998,51.8,71,20,10.29
16,vaini,-76.4418859579526,70.33,98,92,9.19
17,brasileia,-10.966928005842533,,,,
18,chokurdakh,73.75951050059726,30.64,97,20,7.29
19,georgetown,-6.131511468737017,80.6,83,75,4.7
20,hobart,-46.086001885604674,37.4,69,20,10.29
21,mataura,-49.9785579397749,21.19,73,48,3.38
22,sisimiut,67.2169941116997,50.08,71,36,2.93
23,guerrero negro,26.836497404812732,80.32,70,8,9.98
24,belushya guba,89.59950606307049,,,,
25,hermanus,-43.20684794240099,50.71,95,92,2.93
26,new bedford,41.534173812677494,71.6,57,40,18.34
27,wewak,-3.9513472375904115,76.27,95,0,3.6
28,thompson,61.77273165920124,60.8,44,20,9.17
29,tasiilaq,82.40333515575836,48.2,66,75,9.17
30,ushuaia,-78.11823977996218,46.4,71,0,32.21
31,arraial do cabo,-37.834009327651586,76.06,61,0,18.34
32,vao,-26.380573066611447,61.42,76,32,9.86
33,punta arenas,-86.60838645412592,48.2,57,40,23.04
34,puerto ayora,1.9457328358523682,77,69,40,21.92
35,coihaique,-47.58822034744873,46.15,45,40,3.36
36,jamestown,-14.502581664949034,28.3,78,0,1.81
37,nizhneyansk,79.2989739877464,,,,
38,samusu,-7.088698217619893,,,,
39,bam,29.028010514478723,69.34,20,0,2.71
40,yumen,37.07059002419636,71.68,50,100,10.2
41,upernavik,82.96954070813547,41.53,91,92,5.73
42,ribeira grande,39.09302944577976,78.8,69,20,10.29
43,tuatapere,-51.65442599784329,40.9,100,92,5.95
44,nata,-19.37919686258185,80.6,78,20,6.93
45,port elizabeth,-47.31881799231986,73.42,83,90,12.75
46,bathsheba,13.666146317837843,86,70,20,12.75
47,saint-philippe,-73.51357842085952,80.11,47,40,4.7
48,hilo,10.730465823496829,73.4,78,1,16.02
49,sompeta,17.62378437307771,75.64,94,12,2.93
50,codrington,25.52009883889947,46.75,40,0,8.3
51,kapaa,37.39010440534972,83.39,88,40,10.29
52,bambanglipuro,-10.631404442727927,62.41,99,0,2.15
53,yar-sale,70.93264908414793,54.04,88,24,14
54,caravelas,-18.836845147621986,75.19,100,20,10.65
55,cape town,-54.79649405763919,57.2,82,90,9.17
56,praxedis guerrero,31.113741888347732,86.95,27,20,4.7
57,kahului,21.312994728730715,80.49,74,40,7.85
58,yingcheng,31.157268457300248,77,94,0,2.24
59,hithadhoo,-18.273819572796654,77.17,100,92,10.2
60,tuktoyaktuk,76.34203048317659,46.4,100,90,18.34
61,nizhneudinsk,54.44179685371236,56.74,88,0,2.48
62,chardara,41.1339095168575,,,,
63,castro,-50.69047638877707,48.73,70,0,6.06
64,tiksi,77.46667310114668,49.18,77,76,18.03
65,pemangkat,3.59459634529928,,,,
66,atuona,-8.783295278645554,77.8,100,92,15.68
67,senador jose porfirio,-2.831356407102348,86.98,68,20,3.6
68,komsomolskiy,68.5813681998527,52.87,96,92,13.44
69,korla,35.28122491212493,,,,
70,hami,44.7736289897787,69.79,41,0,5.39
71,mahebourg,-31.832329057338804,73.4,69,40,17.22
72,arlit,21.438629641063585,92.65,37,0,2.93
73,goderich,5.9733378860619695,74.47,96,12,7.74
74,marinette,45.20418698944573,75.2,69,1,5.5
75,avarua,-49.52777723016567,73.4,88,75,10.29
76,pringsewu,-5.24065268435298,71.95,84,0,1.7
77,dasoguz,39.97084739068998,75.31,77,0,13.87
78,khatanga,79.47106378573261,47.92,94,76,6.96
79,cowra,-33.81151052306442,35.41,82,0,11.54
80,princeton,48.62777158757305,81.88,58,40,5.82
81,dikson,75.46137118480303,45.31,94,92,24.96
82,pevek,89.85970028655345,36.04,100,88,8.75
83,ust-ilimsk,57.61357591510932,56.02,87,0,4.16
84,butaritari,26.677287241316833,77.53,100,92,11.32
85,santiago,-14.289917478050342,60.8,21,0,3.36
86,yellowknife,77.07659905268818,55.4,71,75,12.75
87,karaidel,55.91578920342303,54.85,76,88,3.49
88,severo-kurilsk,47.03804615801559,52.51,97,80,26.75
89,labutta,15.307953843732776,,,,
90,laguna,-34.40854790119165,91.4,52,20,6.93
91,kassala,15.807183779240063,75.55,80,80,3.6
92,porto murtinho,-21.388425265904118,86.17,42,80,5.5
93,ludvika,60.209149013735896,62.6,55,76,3.36
94,knysna,-33.746278546895624,55.4,82,75,2.24
95,grand gaube,-15.119833478997222,73.4,69,40,17.22
96,martinsville,36.83795633892994,84.47,55,40,4.61
97,lebu,-31.239268601172583,54.49,97,92,2.15
98,sukumo,32.5242180269706,73.21,82,32,7.07
99,alotau,-10.471502532479747,,,,
100,acapulco,7.967698281424802,86,74,40,6.93
101,devils lake,47.81300933452479,68.77,35,1,14.99
102,wajir,1.1084020681171864,84.2,42,0,17.22
103,kalmar,55.82343051146816,69.8,68,0,4.7
104,ulagan,50.739281661851265,47.92,98,92,2.15
105,salta,-25.195844165951385,44.13,75,90,6.93
106,corinto,11.961897030350457,81.13,51,12,4.61
107,college,72.73379845602526,50,76,75,3.36
108,pokosnoye,55.19586579453815,51.52,85,0,2.15
109,cayenne,13.956627675598952,87.8,62,8,12.75
110,beyneu,43.073418725342634,70.06,62,92,3.83
111,hasaki,31.848249318279315,67.75,78,75,4.7
112,vaitupu,7.173098076372426,,,,
113,oromocto,46.03103020028428,73.4,50,40,13.87
114,xam nua,20.48958945692047,68.17,96,80,2.04
115,tocopilla,-22.73587050818969,60.25,100,32,4.72
116,lorengau,0.6976185767903047,81.13,100,48,10.54
117,grand river south east,-20.539971292592654,,,,
118,saskylakh,89.56773066096201,46.12,83,92,2.93
119,bran,45.45461487281207,60.34,94,20,0.92
120,samarai,-14.177146139096436,75.91,100,100,14
121,takoradi,-4.817800553828064,76.81,91,36,9.86
122,buraydah,25.711698203967956,96.8,18,0,4.7
123,lubango,-14.58973275296232,66.1,75,0,3.38
124,mecca,19.598984172104807,88.69,38,88,2.59
125,victoria,2.8494202816038836,81.48,88,75,4.7
126,nikolayevsk-na-amure,54.2357356241435,50.62,100,0,3.15
127,skovde,58.47786226279291,,,,
128,mazamari,-11.68030891566903,70.87,86,48,1.92
129,lima,-14.143421748956001,66.64,82,0,2.71
130,nemuro,36.76402230493193,60.61,91,48,16.02
131,kavieng,6.621347565985147,83.29,100,48,12.55
132,amderma,74.55350805286585,,,,
133,ribeira do pombal,-10.8267596987139,82.84,50,32,13.44
134,paradwip,17.377624337302493,,,,
135,anadyr,65.04595810108796,51.8,76,20,6.71
136,espinosa,-14.61589285056776,78.61,47,8,10.76
137,illoqqortoormiut,79.34243644089929,,,,
138,bluff,-60.55967734956035,45.4,36,0,10.87
139,port lincoln,-34.63072991933402,47.29,100,24,5.95
140,laibin,24.061938751759342,77.89,94,8,3.94
141,hunza,36.15930484866628,,,,
142,plettenberg bay,-43.968964082822765,58.36,100,44,13.22
143,port alfred,-75.328788847054,66.64,74,48,3.71
144,kodiak,46.57588302023339,78.8,74,40,9.17
145,faanui,-9.390609299983055,78.52,100,0,12.66
146,varkaus,62.25299707731568,59,87,0,3.36
147,petrovskoye,57.04578858684721,69.8,68,0,8.95
148,bredasdorp,-68.99572842135014,57.2,87,92,13.87
149,esperance,-33.36073648195788,87.8,62,40,9.17
150,sangamner,19.76293630610462,73.39,89,88,13.22
151,ponta do sol,17.01928008220648,76.72,50,0,4.38
152,jawhar,2.579682585719297,73.84,98,92,8.63
153,new norfolk,-76.66010127680477,37.4,69,20,10.29
154,saint-pierre,35.964039631163004,76.21,60,0,6.93
155,baruun-urt,45.483223013432536,57.01,76,0,10.2
156,hambantota,0.1242500143481351,79.87,95,80,20.49
157,saint-ambroise,50.483654916496846,78.8,47,0,3.36
158,saint-augustin,55.03618266563595,74.98,47,0,10.29
159,provideniya,64.51829400642276,47.29,98,92,5.95
160,clyde river,72.47833652061396,57.2,50,20,11.41
161,deputatskiy,73.20162088135356,34.06,100,8,7.63
162,asosa,11.197984437621557,66.19,93,68,2.71
163,cockburn town,25.644135499016784,83.65,98,0,10.65
164,kenai,61.45584072994251,54.52,87,90,11.41
165,aklavik,73.40503688025098,52.52,87,75,3.15
166,krasnoarmeysk,53.41567498955561,69.8,68,0,8.95
167,husavik,75.09600311430668,67.54,80,12,13.56
168,praia da vitoria,47.798470048825266,77,73,20,7.63
